contamination_rate,outlier_scale_mad,contamination_type,scenario_id
0.15,9,symmetric_t,SC00182
0.2,9,symmetric_t,SC00183
0.3,9,symmetric_t,SC00184
0,12,symmetric_t,SC00185
0.01,12,symmetric_t,SC00186
0.02,12,symmetric_t,SC00187
0.05,12,symmetric_t,SC00188
0.1,12,symmetric_t,SC00189
0.15,12,symmetric_t,SC00190
0.2,12,symmetric_t,SC00191
0.3,12,symmetric_t,SC00192
0,15,symmetric_t,SC00193
0.01,15,symmetric_t,SC00194
0.02,15,symmetric_t,SC00195
0.05,15,symmetric_t,SC00196
0.1,15,symmetric_t,SC00197
0.15,15,symmetric_t,SC00198
0.2,15,symmetric_t,SC00199
0.3,15,symmetric_t,SC00200
0,20,symmetric_t,SC00201
0.01,20,symmetric_t,SC00202
0.02,20,symmetric_t,SC00203
0.05,20,symmetric_t,SC00204
0.1,20,symmetric_t,SC00205
0.15,20,symmetric_t,SC00206
0.2,20,symmetric_t,SC00207
0.3,20,symmetric_t,SC00208
0,30,symmetric_t,SC00209
0.01,30,symmetric_t,SC00210
0.02,30,symmetric_t,SC00211
0.05,30,symmetric_t,SC00212
0.1,30,symmetric_t,SC00213
0.15,30,symmetric_t,SC00214
0.2,30,symmetric_t,SC00215
0.3,30,symmetric_t,SC00216
0,1.5,point_mass,SC00217
0.01,1.5,point_mass,SC00218
0.02,1.5,point_mass,SC00219
0.05,1.5,point_mass,SC00220
0.1,1.5,point_mass,SC00221
0.15,1.5,point_mass,SC00222
0.2,1.5,point_mass,SC00223
0.3,1.5,point_mass,SC00224
0,3,point_mass,SC00225
0.01,3,point_mass,SC00226
0.02,3,point_mass,SC00227
0.05,3,point_mass,SC00228
0.1,3,point_mass,SC00229
0.15,3,point_mass,SC00230
0.2,3,point_mass,SC00231
0.3,3,point_mass,SC00232
0,4.5,point_mass,SC00233
0.01,4.5,point_mass,SC00234
0.02,4.5,point_mass,SC00235
0.05,4.5,point_mass,SC00236
0.1,4.5,point_mass,SC00237
0.15,4.5,point_mass,SC00238
0.2,4.5,point_mass,SC00239
0.3,4.5,point_mass,SC00240
0,6,point_mass,SC00241
0.01,6,point_mass,SC00242
0.02,6,point_mass,SC00243
0.05,6,point_mass,SC00244
0.1,6,point_mass,SC00245
0.15,6,point_mass,SC00246
0.2,6,point_mass,SC00247
0.3,6,point_mass,SC00248
0,9,point_mass,SC00249
0.01,9,point_mass,SC00250
0.02,9,point_mass,SC00251
0.05,9,point_mass,SC00252
0.1,9,point_mass,SC00253
0.15,9,point_mass,SC00254
0.2,9,point_mass,SC00255
0.3,9,point_mass,SC00256
0,12,point_mass,SC00257
0.01,12,point_mass,SC00258
0.02,12,point_mass,SC00259
0.05,12,point_mass,SC00260
0.1,12,point_mass,SC00261
0.15,12,point_mass,SC00262
0.2,12,point_mass,SC00263
0.3,12,point_mass,SC00264
0,15,point_mass,SC00265
0.01,15,point_mass,SC00266
0.02,15,point_mass,SC00267
0.05,15,point_mass,SC00268
0.1,15,point_mass,SC00269
0.15,15,point_mass,SC00270
0.2,15,point_mass,SC00271
0.3,15,point_mass,SC00272
0,20,point_mass,SC00273
0.01,20,point_mass,SC00274
0.02,20,point_mass,SC00275
0.05,20,point_mass,SC00276
0.1,20,point_mass,SC00277
0.15,20,point_mass,SC00278
0.2,20,point_mass,SC00279
0.3,20,point_mass,SC00280
0,30,point_mass,SC00281
0.01,30,point_mass,SC00282
0.02,30,point_mass,SC00283
0.05,30,point_mass,SC00284
0.1,30,point_mass,SC00285
0.15,30,point_mass,SC00286
0.2,30,point_mass,SC00287
0.3,30,point_mass,SC00288
0,1.5,clustered_upper,SC00289
0.01,1.5,clustered_upper,SC00290
0.02,1.5,clustered_upper,SC00291
0.05,1.5,clustered_upper,SC00292
0.1,1.5,clustered_upper,SC00293
0.15,1.5,clustered_upper,SC00294
0.2,1.5,clustered_upper,SC00295
0.3,1.5,clustered_upper,SC00296
0,3,clustered_upper,SC00297
0.01,3,clustered_upper,SC00298
0.02,3,clustered_upper,SC00299
0.05,3,clustered_upper,SC00300
0.1,3,clustered_upper,SC00301
0.15,3,clustered_upper,SC00302
0.2,3,clustered_upper,SC00303
0.3,3,clustered_upper,SC00304
0,4.5,clustered_upper,SC00305
0.01,4.5,clustered_upper,SC00306
0.02,4.5,clustered_upper,SC00307
0.05,4.5,clustered_upper,SC00308
0.1,4.5,clustered_upper,SC00309
0.15,4.5,clustered_upper,SC00310
0.2,4.5,clustered_upper,SC00311
0.3,4.5,clustered_upper,SC00312
0,6,clustered_upper,SC00313
0.01,6,clustered_upper,SC00314
0.02,6,clustered_upper,SC00315
0.05,6,clustered_upper,SC00316
0.1,6,clustered_upper,SC00317
0.15,6,clustered_upper,SC00318
0.2,6,clustered_upper,SC00319
0.3,6,clustered_upper,SC00320
0,9,clustered_upper,SC00321
0.01,9,clustered_upper,SC00322
0.02,9,clustered_upper,SC00323
0.05,9,clustered_upper,SC00324
0.1,9,clustered_upper,SC00325
0.15,9,clustered_upper,SC00326
0.2,9,clustered_upper,SC00327
0.3,9,clustered_upper,SC00328
0,12,clustered_upper,SC00329
0.01,12,clustered_upper,SC00330
0.02,12,clustered_upper,SC00331
0.05,12,clustered_upper,SC00332
0.1,12,clustered_upper,SC00333
0.15,12,clustered_upper,SC00334
0.2,12,clustered_upper,SC00335
0.3,12,clustered_upper,SC00336
0,15,clustered_upper,SC00337
0.01,15,clustered_upper,SC00338
0.02,15,clustered_upper,SC00339
0.05,15,clustered_upper,SC00340
0.1,15,clustered_upper,SC00341
0.15,15,clustered_upper,SC00342
0.2,15,clustered_upper,SC00343
0.3,15,clustered_upper,SC00344
0,20,clustered_upper,SC00345
0.01,20,clustered_upper,SC00346
0.02,20,clustered_upper,SC00347
0.05,20,clustered_upper,SC00348
0.1,20,clustered_upper,SC00349
0.15,20,clustered_upper,SC00350
0.2,20,clustered_upper,SC00351
0.3,20,clustered_upper,SC00352
0,30,clustered_upper,SC00353
0.01,30,clustered_upper,SC00354
0.02,30,clustered_upper,SC00355
0.05,30,clustered_upper,SC00356
0.1,30,clustered_upper,SC00357
0.15,30,clustered_upper,SC00358
0.2,30,clustered_upper,SC00359
0.3,30,clustered_upper,SC00360
0,1.5,clustered_symmetric,SC00361
0.01,1.5,clustered_symmetric,SC00362
0.02,1.5,clustered_symmetric,SC00363
0.05,1.5,clustered_symmetric,SC00364
0.1,1.5,clustered_symmetric,SC00365
0.15,1.5,clustered_symmetric,SC00366
0.2,1.5,clustered_symmetric,SC00367
0.3,1.5,clustered_symmetric,SC00368
0,3,clustered_symmetric,SC00369
0.01,3,clustered_symmetric,SC00370
0.02,3,clustered_symmetric,SC00371
0.05,3,clustered_symmetric,SC00372
0.1,3,clustered_symmetric,SC00373
0.15,3,clustered_symmetric,SC00374
0.2,3,clustered_symmetric,SC00375
0.3,3,clustered_symmetric,SC00376
0,4.5,clustered_symmetric,SC00377
0.01,4.5,clustered_symmetric,SC00378
0.02,4.5,clustered_symmetric,SC00379
0.05,4.5,clustered_symmetric,SC00380
0.1,4.5,clustered_symmetric,SC00381
0.15,4.5,clustered_symmetric,SC00382
0.2,4.5,clustered_symmetric,SC00383
0.3,4.5,clustered_symmetric,SC00384
0,6,clustered_symmetric,SC00385
0.01,6,clustered_symmetric,SC00386
0.02,6,clustered_symmetric,SC00387
0.05,6,clustered_symmetric,SC00388
0.1,6,clustered_symmetric,SC00389
0.15,6,clustered_symmetric,SC00390
0.2,6,clustered_symmetric,SC00391
0.3,6,clustered_symmetric,SC00392
0,9,clustered_symmetric,SC00393
0.01,9,clustered_symmetric,SC00394
0.02,9,clustered_symmetric,SC00395
0.05,9,clustered_symmetric,SC00396
0.1,9,clustered_symmetric,SC00397
0.15,9,clustered_symmetric,SC00398
0.2,9,clustered_symmetric,SC00399
0.3,9,clustered_symmetric,SC00400
0,12,clustered_symmetric,SC00401
0.01,12,clustered_symmetric,SC00402
0.02,12,clustered_symmetric,SC00403
0.05,12,clustered_symmetric,SC00404
0.1,12,clustered_symmetric,SC00405
0.15,12,clustered_symmetric,SC00406
0.2,12,clustered_symmetric,SC00407
0.3,12,clustered_symmetric,SC00408
0,15,clustered_symmetric,SC00409
0.01,15,clustered_symmetric,SC00410
0.02,15,clustered_symmetric,SC00411
0.05,15,clustered_symmetric,SC00412
0.1,15,clustered_symmetric,SC00413
0.15,15,clustered_symmetric,SC00414
0.2,15,clustered_symmetric,SC00415
0.3,15,clustered_symmetric,SC00416
0,20,clustered_symmetric,SC00417
0.01,20,clustered_symmetric,SC00418
0.02,20,clustered_symmetric,SC00419
0.05,20,clustered_symmetric,SC00420
0.1,20,clustered_symmetric,SC00421
0.15,20,clustered_symmetric,SC00422
0.2,20,clustered_symmetric,SC00423
0.3,20,clustered_symmetric,SC00424
0,30,clustered_symmetric,SC00425
0.01,30,clustered_symmetric,SC00426
0.02,30,clustered_symmetric,SC00427
0.05,30,clustered_symmetric,SC00428
0.1,30,clustered_symmetric,SC00429
0.15,30,clustered_symmetric,SC00430
0.2,30,clustered_symmetric,SC00431
0.3,30,clustered_symmetric,SC00432
0,1.5,mixture_bimodal_near,SC00433
0.01,1.5,mixture_bimodal_near,SC00434
0.02,1.5,mixture_bimodal_near,SC00435
0.05,1.5,mixture_bimodal_near,SC00436
0.1,1.5,mixture_bimodal_near,SC00437
0.15,1.5,mixture_bimodal_near,SC00438
0.2,1.5,mixture_bimodal_near,SC00439
0.3,1.5,mixture_bimodal_near,SC00440
0,3,mixture_bimodal_near,SC00441
0.01,3,mixture_bimodal_near,SC00442
0.02,3,mixture_bimodal_near,SC00443
0.05,3,mixture_bimodal_near,SC00444
0.1,3,mixture_bimodal_near,SC00445
0.15,3,mixture_bimodal_near,SC00446
0.2,3,mixture_bimodal_near,SC00447
0.3,3,mixture_bimodal_near,SC00448
0,4.5,mixture_bimodal_near,SC00449
0.01,4.5,mixture_bimodal_near,SC00450
0.02,4.5,mixture_bimodal_near,SC00451
0.05,4.5,mixture_bimodal_near,SC00452
0.1,4.5,mixture_bimodal_near,SC00453
0.15,4.5,mixture_bimodal_near,SC00454
0.2,4.5,mixture_bimodal_near,SC00455
0.3,4.5,mixture_bimodal_near,SC00456
0,6,mixture_bimodal_near,SC00457
0.01,6,mixture_bimodal_near,SC00458
0.02,6,mixture_bimodal_near,SC00459
0.05,6,mixture_bimodal_near,SC00460
0.1,6,mixture_bimodal_near,SC00461
0.15,6,mixture_bimodal_near,SC00462
0.2,6,mixture_bimodal_near,SC00463
0.3,6,mixture_bimodal_near,SC00464
0,9,mixture_bimodal_near,SC00465
0.01,9,mixture_bimodal_near,SC00466
0.02,9,mixture_bimodal_near,SC00467
0.05,9,mixture_bimodal_near,SC00468
0.1,9,mixture_bimodal_near,SC00469
0.15,9,mixture_bimodal_near,SC00470
0.2,9,mixture_bimodal_near,SC00471
0.3,9,mixture_bimodal_near,SC00472
0,12,mixture_bimodal_near,SC00473
0.01,12,mixture_bimodal_near,SC00474
0.02,12,mixture_bimodal_near,SC00475
0.05,12,mixture_bimodal_near,SC00476
0.1,12,mixture_bimodal_near,SC00477
0.15,12,mixture_bimodal_near,SC00478
0.2,12,mixture_bimodal_near,SC00479
0.3,12,mixture_bimodal_near,SC00480
0,15,mixture_bimodal_near,SC00481
0.01,15,mixture_bimodal_near,SC00482
0.02,15,mixture_bimodal_near,SC00483
0.05,15,mixture_bimodal_near,SC00484
0.1,15,mixture_bimodal_near,SC00485
0.15,15,mixture_bimodal_near,SC00486
0.2,15,mixture_bimodal_near,SC00487
0.3,15,mixture_bimodal_near,SC00488
0,20,mixture_bimodal_near,SC00489
0.01,20,mixture_bimodal_near,SC00490
0.02,20,mixture_bimodal_near,SC00491
0.05,20,mixture_bimodal_near,SC00492
0.1,20,mixture_bimodal_near,SC00493
0.15,20,mixture_bimodal_near,SC00494
0.2,20,mixture_bimodal_near,SC00495
0.3,20,mixture_bimodal_near,SC00496
0,30,mixture_bimodal_near,SC00497
0.01,30,mixture_bimodal_near,SC00498
0.02,30,mixture_bimodal_near,SC00499
0.05,30,mixture_bimodal_near,SC00500
0.1,30,mixture_bimodal_near,SC00501
0.15,30,mixture_bimodal_near,SC00502
0.2,30,mixture_bimodal_near,SC00503
0.3,30,mixture_bimodal_near,SC00504
0,1.5,mixture_bimodal_far,SC00505
0.01,1.5,mixture_bimodal_far,SC00506
