contamination_rate,outlier_scale_mad,contamination_type,scenario_id
0.1,3,mixture_bimodal_near,SC00445
0.3,3,mixture_bimodal_near,SC00448
0,4.5,mixture_bimodal_near,SC00449
0.02,4.5,mixture_bimodal_near,SC00451
0.05,4.5,mixture_bimodal_near,SC00452
0.2,4.5,mixture_bimodal_near,SC00455
0.01,6,mixture_bimodal_near,SC00458
0.1,6,mixture_bimodal_near,SC00461
0.2,6,mixture_bimodal_near,SC00463
0.3,6,mixture_bimodal_near,SC00464
0.05,9,mixture_bimodal_near,SC00468
0.1,9,mixture_bimodal_near,SC00469
0.01,12,mixture_bimodal_near,SC00474
0.02,12,mixture_bimodal_near,SC00475
0.2,12,mixture_bimodal_near,SC00479
0,15,mixture_bimodal_near,SC00481
0.01,15,mixture_bimodal_near,SC00482
0.02,15,mixture_bimodal_near,SC00483
0.2,15,mixture_bimodal_near,SC00487
0.3,15,mixture_bimodal_near,SC00488
0.02,30,mixture_bimodal_near,SC00499
0.05,30,mixture_bimodal_near,SC00500
0.1,30,mixture_bimodal_near,SC00501
0,1.5,mixture_bimodal_far,SC00505
0.01,1.5,mixture_bimodal_far,SC00506
0.05,1.5,mixture_bimodal_far,SC00508
0.1,1.5,mixture_bimodal_far,SC00509
0.3,1.5,mixture_bimodal_far,SC00512
0.05,3,mixture_bimodal_far,SC00516
0.15,3,mixture_bimodal_far,SC00518
0.2,3,mixture_bimodal_far,SC00519
0.01,4.5,mixture_bimodal_far,SC00522
0.02,4.5,mixture_bimodal_far,SC00523
0.2,4.5,mixture_bimodal_far,SC00527
0.02,6,mixture_bimodal_far,SC00531
0.2,6,mixture_bimodal_far,SC00535
0.3,6,mixture_bimodal_far,SC00536
0.01,9,mixture_bimodal_far,SC00538
0.05,9,mixture_bimodal_far,SC00540
0.15,9,mixture_bimodal_far,SC00542
0.3,9,mixture_bimodal_far,SC00544
0,12,mixture_bimodal_far,SC00545
0.02,12,mixture_bimodal_far,SC00547
0.1,12,mixture_bimodal_far,SC00549
0.01,15,mixture_bimodal_far,SC00554
0.05,15,mixture_bimodal_far,SC00556
0.1,15,mixture_bimodal_far,SC00557
0.2,15,mixture_bimodal_far,SC00559
0,20,mixture_bimodal_far,SC00561
0.15,20,mixture_bimodal_far,SC00566
0.2,20,mixture_bimodal_far,SC00567
0,30,mixture_bimodal_far,SC00569
0.02,30,mixture_bimodal_far,SC00571
0.3,30,mixture_bimodal_far,SC00576
